IdReview,IdCliente,IdProducto,Fecha,Comentario,Rating
W0001,C007,P016,2024-10-23,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0002,C028,P005,2024-10-15,Gran relación calidad-precio. Muy recomendable.,3
W0003,C035,P020,2025-02-02,"Entrega correcta, sin comentarios adicionales. OK.",5
W0004,C021,P009,2025-04-24,"Producto recibido, cumple su función. OK.",4
W0005,C030,P008,2025-03-25,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0006,C021,P016,2025-03-16,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0007,C018,P011,2024-12-03,"Es lo que esperaba, nada excepcional. OK.",1
W0008,C013,P017,2025-01-06,"Calidad superior, muy contento. Muy recomendable.",5
W0009,C031,P008,2025-01-27,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0010,C019,P003,2025-04-10,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",5
W0011,C031,P012,2025-02-08,Envío tardío y producto dañado. No volvería a comprar.,5
W0012,C023,P011,2025-04-10,"Es lo que esperaba, nada excepcional. OK.",3
W0013,C008,P008,2025-07-14,"Es lo que esperaba, nada excepcional. OK.",5
W0014,C013,P006,2025-04-25,"Calidad superior, muy contento. Muy recomendable.",5
W0015,C039,P017,2025-06-06,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0016,C024,P008,2024-09-16,"Me encanta este producto, excelente calidad. Muy recomendable.",5
W0017,C018,P005,2024-12-04,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0018,C032,P005,2024-11-24,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0019,C031,P016,2025-08-18,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0020,C008,P016,2025-01-05,"Entrega correcta, sin comentarios adicionales. OK.",1
W0021,C004,P019,2025-04-11,Gran relación calidad-precio. Muy recomendable.,1
W0022,C008,P008,2024-11-07,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0023,C015,P020,2025-01-26,"Entrega correcta, sin comentarios adicionales. OK.",4
W0024,C038,P010,2024-11-26,"Es lo que esperaba, nada excepcional. OK.",5
W0025,C040,P002,2025-05-30,"Producto recibido, cumple su función. OK.",2
W0026,C006,P009,2024-12-05,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0027,C001,P006,2025-01-16,Gran relación calidad-precio. Muy recomendable.,3
W0028,C015,P002,2024-09-19,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0029,C015,P003,2024-10-10,Satisface lo básico. OK.,2
W0030,C008,P014,2025-04-30,"No funciona como esperaba, decepcionado. No volvería a comprar.",2
W0031,C004,P003,2024-11-13,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0032,C029,P010,2024-09-20,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0033,C033,P009,2025-08-03,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0034,C028,P002,2025-05-08,Satisface lo básico. OK.,1
W0035,C015,P003,2024-11-17,Satisface lo básico. OK.,1
W0036,C037,P009,2025-01-16,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",5
W0037,C018,P015,2025-02-02,Gran relación calidad-precio. Muy recomendable.,4
W0038,C031,P003,2025-04-02,Producto llegó rápido y funciona perfecto. Muy recomendable.,1
W0039,C022,P006,2025-04-19,"Calidad superior, muy contento. Muy recomendable.",4
W0040,C003,P018,2025-05-07,Envío tardío y producto dañado. No volvería a comprar.,3
W0041,C026,P004,2024-10-12,"Producto recibido, cumple su función. OK.",5
W0042,C027,P015,2025-03-12,Gran relación calidad-precio. Muy recomendable.,5
W0043,C029,P016,2025-04-30,"Información suficiente, sin mayor novedad. OK.",5
W0044,C019,P005,2025-07-13,"Calidad superior, muy contento. Muy recomendable.",1
W0045,C016,P020,2024-12-05,"Es lo que esperaba, nada excepcional. OK.",1
W0046,C027,P018,2025-01-20,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0047,C032,P005,2024-12-27,"Es lo que esperaba, nada excepcional. OK.",3
W0048,C031,P014,2025-01-23,"Información suficiente, sin mayor novedad. OK.",5
W0049,C025,P005,2024-12-27,Gran relación calidad-precio. Muy recomendable.,2
W0050,C018,P003,2025-03-23,"Entrega correcta, sin comentarios adicionales. OK.",5
W0051,C001,P009,2024-11-17,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0052,C010,P016,2025-03-21,"Calidad superior, muy contento. Muy recomendable.",3
W0053,C035,P018,2025-06-09,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0054,C025,P019,2025-08-22,"Calidad superior, muy contento. Muy recomendable.",3
W0055,C025,P016,2025-01-03,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
